Symbol,Price Today,Avg Price (July 30 2018 - Aug 10 2018),Delta #,Delta %,Buy Price,Qty,Current Value,Value at Purchase Time
APPN,34.62,32.93,1.69,5.13,0,0,0,0
NTB,51.85,50.98,0.87,1.71,0,0,0,0
BZUN,57.03,56.71,0.32,0.56,0,0,0,0
CTRL,33.69,29.93,3.76,12.56,0,0,0,0
COUP,70.2,63.72,6.48,10.17,0,0,0,0
CRSP,51.15,47.97,3.18,6.63,0,0,0,0
FIVN,47.84,37.65,10.19,27.07,0,0,0,0
GIII,45.44,44.64,0.8,1.79,0,0,0,0
KNSL,60.54,59.52,1.02,1.71,0,0,0,0
MMYT,30.95,33.88,-2.93,-8.65,0,0,0,0
MDB,71.86,58.67,13.19,22.48,0,0,0,0
NVEE,88.05,83.47,4.58,5.49,0,0,0,0
PJT,58.82,58.63,0.19,0.32,0,0,0,0
QTWO,62.55,60.77,1.78,2.93,0,0,0,0
SFIX,37.52,30.11,7.41,24.61,0,0,0,0
TLND,63.81,58.38,5.43,9.3,0,0,0,0
TTD,140.09,93.15,46.94,50.39,0,0,0,0
TRUP,37.15,39.39,-2.24,-5.69,0,0,0,0
VRNS,71.2,64.25,6.95,10.82,0,0,0,0
WD,55.17,54.74,0.43,0.79,0,0,0,0